83,30,1,구룡,Guryong,Bundang Line,k218,개포동,Gaepo-dong,Bundang Line,k219
84,167,2,구리,Guri,Gyeongui-Jungang Line,K123,도농,Donong,Gyeongui-Jungang Line,K124
85,420,1,구반포,Gubanpo,LINE 9,921,신반포,Sinbanpo,LINE 9,922
86,543,2,구산,Gusan,LINE 6,615,응암,Eungam,LINE 6,610
87,403,2,구성,Guseong,Bundang Line,K235,신갈,Singal,Bundang Line,K236
88,26,1,구의,Guui,LINE 2,213,강변,Gangbyeon,LINE 2,214
89,29,1,구일,Guil,LINE 1,142,개봉,Gaebong,LINE 1,143
90,481,2,구파발,Gupabal,LINE 3,320,연신내,Yeonsinnae,LINE 3,321
91,443,4,국수,Guksu,Gyeongui-Jungang Line,K132,아신,Asin,Gyeongui-Jungang Line,K133
93,474,1,국회의사당,National Assembly,LINE 9,914,여의도,Yeouido,LINE 9,915
94,444,21,군자,Gunja,LINE 5,544,아차산,Achasan,LINE 5,545
94,470,1,군자,Gunja,LINE 7,725,어린이대공원,Children`s  Grand Park,LINE 7,726
96,148,2,군포,Gunpo,LINE 1,P150,당정,Dangjeong,LINE 1,P151
97,262,3,굴봉산,Gulbongsan,Gyuongchun Line,P135,백양리,Baegyang-ri,Gyuongchun Line,P136
98,288,1,굴포천,Gulpocheon,LINE 7,758,부평구청,Bupyeong-gu Office,LINE 7,759
99,233,1,굽은다리,Gubeundari,LINE 5,550,명일,Myeongil,LINE 5,551
100,250,2,귤현,Gyulhyeon,Incheon Line1,I111,박촌,Bakchon,Incheon Line1,I112
101,664,4,금곡,Geumgok,Gyuongchun Line,P127,평내호평,PyeongnaeHopyeong,Gyuongchun Line,P128
102,106,2,금릉,Geumneung,Gyeongui-Jungang Line,K330,금촌,Geumchon,Gyeongui-Jungang Line,K331
103,96,2,금정,Geumjeong,LINE 1,P149,군포,Gunpo,LINE 1,P150
103,301,2,금정,Geumjeong,LINE 4,443,산본,Sanbon,LINE 4,444
105,73,2,금천구청,Geumcheon-Gu Office,LINE 1,P144,광명,Gwangmyeong,LINE 1,P144-1
105,350,2,금천구청,Geumcheon-Gu Office,LINE 1,P144,석수,Seoksu,LINE 1,P145
106,536,4,금촌,Geumchon,Gyeongui-Jungang Line,K331,월롱,Wollong,Gyeongui-Jungang Line,K333
107,501,1,금호,Geumho,LINE 3,334,옥수,Oksu,LINE 3,335
108,22,1,기흥,Giheung,Yongin Everline,Y110,강남대,Kangnam Univ.,Yongin Everline,Y111
108,314,2,기흥,Giheung,Bundang Line,K237,상갈,Sanggal,Bundang Line,K238
110,99,1,길동,Gil-dong,LINE 5,549,굽은다리,Gubeundari,LINE 5,550
111,365,1,길음,Gireum,LINE 4,417,성신여대입구,Sungshin Women`s Univ.,LINE 4,418
112,523,1,김량장,Gimnyangjang,Yongin Everline,Y119,운동장.송담대,Stadium Songdam College,Yongin Everline,Y120
113,127,6,김유정,Gimyujeong,Gyuongchun Line,P138,남춘천,Namchuncheon,Gyuongchun Line,P139
114,49,6,김포공항,Gimpo Intl. Airport,Airport Railroad Line,A05,계양,Gyeyang,Airport Railroad Line,A06
114,66,1,김포공항,Gimpo Intl. Airport,LINE 9,902,공항시장,Airport Market,LINE 9,903
114,380,1,김포공항,Gimpo Intl. Airport,LINE 5,512,송정,Songjeong,LINE 5,513
117,430,1,까치산,Kkachisan,LINE 5,518,신정,Sinjeong,LINE 5,519
119,285,1,까치울,Kkachiul,LINE 7,751,부천종합운동장,Bucheon Stadium,LINE 7,752
120,337,1,낙성대,Nakseongdae,LINE 2,227,서울대입구,Seoul Nat`l Univ.,LINE 2,228
121,4,1,남구로,Namguro,LINE 7,745,가산디지털단지,Gasan Digital Complex,LINE 7,746
122,563,2,남동구청,Namdong-gu Office,Incheon Line2,I225,인천대공원,Incheon Grand Park,Incheon Line2,I226
123,529,1,남동인더스파크,Namdong Induspark,Suin Line,K256,원인재,Woninjae,Suin Line,K257
124,460,2,남부터미널,Nambu Bus Terminal,LINE 3,341,양재,Yangjae,LINE 3,342
125,397,2,남성,Namseong,LINE 7,737,숭실대입구,Soongsil Univ.,LINE 7,738
126,519,2,남영,Namyeong,LINE 1,134,용산,Yongsan,LINE 1,135
127,647,3,남춘천,Namchuncheon,Gyuongchun Line,P139,춘천,Chuncheon,Gyuongchun Line,P140
128,357,2,남태령,Namtaeryeong,LINE 4,434,선바위,Seonbawi,LINE 4,435
129,142,1,남한산성입구,Namhansanseong,LINE 8,822,단대오거리,Dandaeogeori,LINE 8,823
130,551,1,내방,Naebang,LINE 7,735,이수,Isu,LINE 7,736
131,703,1,노들,Nodeul,LINE 9,918,흑석,Heukseok,LINE 9,919
132,131,1,노량진,Noryangjin,LINE 9,917,노들,Nodeul,LINE 9,918
132,155,2,노량진,Noryangjin,LINE 1,136,대방,Daebang,LINE 1,137
134,604,1,노원,Nowon,LINE 7,713,중계,Junggye,LINE 7,714
134,622,1,노원,Nowon,LINE 4,411,창동,Chang-dong,LINE 4,412
136,687,2,녹번,Nokbeon,LINE 3,323,홍제,Hongje,LINE 3,324
137,555,1,녹사평,Noksapyeong,LINE 6,629,이태원,Itaewon,LINE 6,630
138,1,1,녹양,Nogyang,LINE 1,108,가능,Ganeung,LINE 1,109
139,532,1,녹천,Nokcheon,LINE 1,117,월계,Wolgye,LINE 1,118
140,252,1,논현,Nonhyeon,LINE 7,732,반포,Banpo,LINE 7,733
141,149,2,능곡,Neunggok,Gyeongui-Jungang Line,K321,대곡,Daegok,Gyeongui-Jungang Line,K322
142,438,1,단대오거리,Dandaeogeori,LINE 8,823,신흥,Sinheung,LINE 8,824
143,534,2,달월,Dalwol,Suin Line,K251,월곶,Wolgot,Suin Line,K252
144,582,1,답십리,Dapsimni,LINE 5,542,장한평,Janghanpyeong,LINE 5,543
145,315,1,당고개,Danggogae,LINE 4,409,상계,Sanggye,LINE 4,410
146,93,2,당산,Dangsan,LINE 9,913,국회의사당,National Assembly,LINE 9,914
146,678,2,당산,Dangsan,LINE 2,237,합정,Hapjeong,LINE 2,238
148,544,3,당정,Dangjeong,LINE 1,P151,의왕,Uiwang,LINE 1,P152
149,58,2,대곡,Daegok,Gyeongui-Jungang Line,K322,곡산,Goksan,Gyeongui-Jungang Line,K323
149,693,2,대곡,Daegok,LINE 3,314,화정,Hwajeong,LINE 3,315
151,68,1,대공원,Seoul Grand Park,LINE 4,437,과천,Gwacheon,LINE 4,438
152,121,1,대림,Daerim,LINE 7,744,남구로,Namguro,LINE 7,745
152,415,2,대림,Daerim,LINE 2,233,신도림,Sindorim,LINE 2,234
154,388,3,대모산입구,Daemosan,Bundang Line,k220,수서,Suseo,Bundang Line,K221
155,405,1,대방,Daebang,LINE 1,137,신길,Singil,LINE 1,138
156,641,7,대성리,Daeseong-ri,Gyuongchun Line,P131,청평,Cheongpyeong,Gyuongchun Line,P132
157,251,2,대야미,Daeyami,LINE 4,446,반월,Banwol,LINE 4,447
158,570,1,대청,Daecheong,LINE 3,347,일원,Irwon,LINE 3,348
159,670,1,대치,Daechi,LINE 3,345,학여울,Hangnyeoul,LINE 3,346
160,602,1,대화,Daehwa,LINE 3,309,주엽,Juyeop,LINE 3,310
161,61,1,대흥,Daeheung,LINE 6,625,공덕,Gongdeok,LINE 6,626
162,464,5,덕계,Deokgye,LINE 1,106,양주,Yangju,LINE 1,107
163,172,2,덕소,Deokso,Gyeongui-Jungang Line,K126,도심,Dosim,Gyeongui-Jungang Line,K127
164,162,3,덕정,Deokjeong,LINE 1,105,덕계,Deokgye,LINE 1,106
165,83,1,도곡,Dogok,Bundang Line,K217,구룡,Guryong,Bundang Line,k218
165,159,1,도곡,Dogok,LINE 3,344,대치,Daechi,LINE 3,345
167,463,4,도농,Donong,Gyeongui-Jungang Line,K124,양정,Yangjeong,Gyeongui-Jungang Line,K125
168,465,2,도림천,Dorimcheon,LINE 2,234-1,양천구청,Yangcheon-gu Office,LINE 2,234-2
169,257,1,도봉,Dobong,LINE 1,114,방학,Banghak,LINE 1,115
170,169,1,도봉산,Dobongsan,LINE 1,113,도봉,Dobong,LINE 1,114
170,385,2,도봉산,Dobongsan,LINE 7,710,수락산,Suraksan,LINE 7,711
172,663,4,도심,Dosim,Gyeongui-Jungang Line,K127,팔당,Paldang,Gyeongui-Jungang Line,K128
