146,당산,Dangsan,LINE 2,237,478290,1120184,37.53438,126.902281
146,당산,Dangsan,LINE 9,913,478290,1120184,37.53438,126.902281
148,당정,Dangjeong,LINE 1,P151,488329,1067092,37.344285,126.948345
149,대곡,Daegok,Gyeongui-Jungang Line,K322,458007,1147052,37.631626,126.811024
149,대곡,Daegok,LINE 3,314,453049,1150265,37.643114,126.78787
151,대공원,Seoul Grand Park,LINE 4,437,501287,1092762,37.435675,127.006523
152,대림,Daerim,LINE 2,233,476705,1108675,37.49297,126.895801
152,대림,Daerim,LINE 7,744,476705,1108675,37.49297,126.895801
154,대모산입구,Daemosan,Bundang Line,k220,515977,1108135,37.491373,127.07272
155,대방,Daebang,LINE 1,137,483645,1114340,37.513342,126.926382
156,대성리,Daeseong-ri,Gyuongchun Line,P131,583557,1161685,37.684071,127.379319
157,대야미,Daeyami,LINE 4,446,481462,1062700,37.328467,126.917332
158,대청,Daecheong,LINE 3,347,517440,1108825,37.493514,127.079532
159,대치,Daechi,LINE 3,345,513907,1108850,37.494612,127.063642
160,대화,Daehwa,LINE 3,309,472070,1152435,37.650658,126.872642
161,대흥,Daeheung,LINE 6,625,487020,1123710,37.547771,126.942069
162,덕계,Deokgye,LINE 1,106,512355,1198910,37.818486,127.056486
163,덕소,Deokso,Gyeongui-Jungang Line,K126,545892,1134737,37.586781,127.208832
164,덕정,Deokjeong,LINE 1,105,513355,1205710,37.843188,127.061277
165,도곡,Dogok,Bundang Line,K217,512105,1107980,37.490858,127.055381
165,도곡,Dogok,LINE 3,344,512105,1107980,37.490858,127.055381
167,도농,Donong,Gyeongui-Jungang Line,K124,535400,1140587,37.608806,127.161153
168,도림천,Dorimcheon,LINE 2,234-1,473827,1114450,37.514287,126.882768
169,도봉,Dobong,LINE 1,114,509890,1160207,37.679563,127.045595
170,도봉산,Dobongsan,LINE 1,113,510065,1163090,37.689313,127.046222
170,도봉산,Dobongsan,LINE 7,710,510065,1163090,37.689313,127.046222
172,도심,Dosim,Gyeongui-Jungang Line,K127,548956,1132632,37.579622,127.222672
173,도원,Dowon,LINE 1,159,420742,1101893,37.468446,126.642706
174,도화,Dohwa,LINE 1,157,426550,1101115,37.46607,126.668672
175,독립문,Dongnimmun,LINE 3,326,490525,1131175,37.574571,126.957748
176,독바위,Dokbawi,LINE 6,613,485010,1143355,37.618456,126.933031
177,독산,Doksan,LINE 1,P143,475327,1101222,37.466613,126.889249
178,독정,Dokjeong,Incheon Line2,I206,,,37.585212,126.675844
179,돌곶이,Dolgoji,LINE 6,643,512415,1141217,37.610537,127.056431
180,동대문,Dongdaemun,LINE 1,128,502155,1130180,37.57142,127.009745
180,동대문,Dongdaemun,LINE 4,421,502155,1130180,37.57142,127.009745
182,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 2,205,501555,1128600,37.565138,127.007896
182,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 4,422,501555,1128600,37.565138,127.007896
182,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 5,536,501555,1128600,37.565138,127.007896
185,동대입구,Dongguk Univ.,LINE 3,332,501022,1127027,37.559052,127.005602
186,동두천,Dongducheon,LINE 1,101,511905,1229110,37.927878,127.05479
187,동두천중앙,Dongducheon jungang,LINE 1,103,512255,1222010,37.901885,127.056482
188,동막,Dongmak,Incheon Line1,I132,427474,1082340,37.397878,126.674005
189,동묘앞,Dongmyo,LINE 1,127,503422,1130557,37.572627,127.016429
189,동묘앞,Dongmyo,LINE 6,636,503422,1130557,37.572627,127.016429
191,동백,Dongbaek,Yongin Everline,Y114,533700,1046500,37.269043,127.152716
192,동수,Dongsu,Incheon Line1,I121,437695,1106492,37.485312,126.718247
193,동암,Dongam,LINE 1,154,434192,1102477,37.471408,126.702896
194,동오,Dong-o,Uijeongbu Lrt Line,U118,512490,1178550,37.745271,127.056947
195,동인천,Dongincheon,LINE 1,160,418562,1103812,37.475276,126.632802
196,동작,Dongjak,LINE 4,431,495157,1111287,37.502971,126.979306
196,동작,Dongjak,LINE 9,920,495157,1111287,37.502971,126.979306
198,동천,Dongcheon,Shinbundang Line,D14,,,37.337928,127.102976
199,동춘,Dongchun,Incheon Line1,I131,429241,1084081,37.404737,126.681015
200,두정,Dujeong,LINE 1,P168,533047,925610,36.833705,127.14896
201,둔전,Dunjeon,Yongin Everline,Y125,547400,1045900,37.267051,127.21364
202,둔촌동,Dunchon-dong,LINE 5,P549,529927,1118215,37.527788,127.136248
203,둔촌오륜,Dunchon Oryun,LINE 9,937,,,37.519245,127.138589
204,등촌,Deungchon,LINE 9,909,470000,1124700,37.550632,126.865689
205,디지털미디어시티,Digital Media City,Airport Railroad Line,A04,477750,1131825,37.576646,126.900984
205,디지털미디어시티,Digital Media City,Gyeongui-Jungang Line,K316,477750,1131825,37.576646,126.900984
205,디지털미디어시티,Digital Media City,LINE 6,618,477750,1131825,37.576646,126.900984
208,뚝섬,Ttukseom,LINE 2,210,510281,1123615,37.547184,127.047367
209,뚝섬유원지,Ttukseom Park,LINE 7,728,514630,1119362,37.53154,127.066704
210,마곡,Magok,LINE 5,514,461137,1127285,37.560183,126.825448
211,마곡나루,Magongnaru,Airport Railroad Line,A042,,,37.566917,126.826549
211,마곡나루,Magongnaru,LINE 9,905,461700,1129100,37.567336,126.829497
213,마두,Madu,LINE 3,312,449837,1154790,37.659477,126.773359
214,마들,Madeul,LINE 7,712,512587,1156285,37.66494,127.057675
215,마석,Maseok,Gyuongchun Line,P130,568527,1153065,37.652782,127.311767
216,마장,Majang,LINE 5,541,509362,1128847,37.5661,127.042973
217,마전,Majeon,Incheon Line2,I204,,,37.597566,126.666998
218,마천,Macheon,LINE 5,P555,533682,1109147,37.49499,127.152781
219,마포,Mapo,LINE 5,528,487855,1121387,37.539574,126.945932
220,마포구청,Mapo-gu Office,LINE 6,620,478397,1128185,37.563515,126.903343
221,만수,Mansu,Incheon Line2,I224,,,37.454911,126.732094
222,망우,Mangu,Gyeongui-Jungang Line,K121,520227,1138095,37.59955,127.091909
222,망우,Mangu,Gyuongchun Line,P121,520227,1138095,37.59955,127.091909
224,망원,Mangwon,LINE 6,621,479897,1125917,37.556094,126.910052
225,망월사,Mangwolsa,LINE 1,112,510207,1168925,37.709914,127.047455
226,망포,Mangpo,Bundang Line,K241,512500,1040000,37.245795,127.057353
227,매교,Maegyo,Bundang Line,K244,503400,1045300,37.265481,127.015678
228,매봉,Maebong,LINE 3,343,510257,1106985,37.486947,127.046769
229,매탄권선,MaetanGwonseon,Bundang Line,K242,508800,1042000,37.252759,127.040566
230,먹골,Meokgol,LINE 7,718,516982,1141245,37.610637,127.077725
231,면목,Myeonmok,LINE 7,721,519095,1135127,37.588579,127.087503
232,명동,Myeong-dong,LINE 4,424,496773,1127452,37.560989,126.986325
233,명일,Myeongil,LINE 5,551,531702,1124652,37.55137,127.143999
234,명지대,Myongji Univ.,Yongin Everline,Y118,542100,1037900,37.237964,127.190294
235,명학,Myeonghak,LINE 1,P148,485522,1078495,37.384653,126.935433
236,모란,Moran,Bundang Line,K225,528402,1091947,37.43213,127.129087
236,모란,Moran,LINE 8,826,528402,1091947,37.43213,127.129087
238,모래내시장,Moraenae Market,Incheon Line2,I223,,,37.45583,126.719298
239,목동,Mok-dong,LINE 5,520,469885,1117862,37.526065,126.864931
240,몽촌토성,Mongchontoseong,LINE 8,813,524665,1115335,37.517409,127.112359
241,무악재,Muakjae,LINE 3,325,488910,1133372,37.582299,126.950291
242,문래,Mullae,LINE 2,235,476561,1115505,37.517933,126.89476
243,문산,Munsan,Gyeongui-Jungang Line,K335,453250,1208880,37.854619,126.788047
244,문정,Munjeong,LINE 8,818,526900,1106552,37.485855,127.1225
245,문학경기장,Munhak Sports Complex,Incheon Line1,I127,433030,1092422,37.434935,126.698579
246,미금,Migeum,Bundang Line,K231,523957,1068933,37.350077,127.10891
246,미금,Migeum,Shinbundang Line,D13,523957,1068933,37.350077,127.10891
248,미아,Mia,LINE 4,415,505667,1145592,37.62667,127.025983
249,미아사거리,Miasamgeori,LINE 4,416,506527,1141940,37.613292,127.030053
250,박촌,Bakchon,Incheon Line1,I112,443555,1125427,37.553703,126.745077
251,반월,Banwol,LINE 4,447,478522,1058497,37.312212,126.903524
252,반포,Banpo,LINE 7,733,502410,1112792,37.508178,127.011727
253,발곡,Balgok,Uijeongbu Lrt Line,U110,511590,1173570,37.727048,127.052803
254,발산,Balsan,LINE 5,515,463930,1126865,37.558598,126.837668
255,방배,Bangbae,LINE 2,225,499277,1105368,37.481426,126.997596
256,방이,Bangi,LINE 5,P551,527705,1112922,37.508857,127.126133
257,방학,Banghak,LINE 1,115,509602,1157006,37.667503,127.044273
